# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   239      3     62  0.032160  0.031946  0.000214
   240      3     65  0.031430  0.032305  -0.000875
   241      3     66  0.031430  0.032558  -0.001128
   242      3     67  0.033150  0.032800  0.000350
   243      3     68  0.033640  0.033079  0.000561
   244      3     69  0.034130  0.033628  0.000502
   245      3     70  0.034370  0.033993  0.000377
   246      3     71  0.034870  0.034286  0.000584
   247      3     72  0.034130  0.034208  -0.000078
   248      3     73  0.034620  0.034261  0.000359
   249      3     74  0.034870  0.034098  0.000772
   250      3     75  0.035600  0.034127  0.001473
   251      3     76  0.036090  0.034461  0.001629
   252      3     77  0.036090  0.035107  0.000983
   253      3     78  0.037570  0.036019  0.001551
   254      3     79  0.037810  0.036281  0.001529
   255      3     80  0.038550  0.037264  0.001286
   256      3     81  0.038800  0.039907  -0.001107
   257      3     82  0.040760  0.038613  0.002147
   258      3     83  0.040510  0.038484  0.002026
   259      3     84  0.039530  0.038625  0.000905
   260      3     85  0.039290  0.038894  0.000396
   261      3     86  0.040020  0.039368  0.000652
   262      3     87  0.039780  0.040393  -0.000613
   263      3     88  0.040510  0.040953  -0.000443
   264      3     89  0.040020  0.041040  -0.001020
   265      3     90  0.039290  0.041275  -0.001985
   266      3     91  0.038550  0.041721  -0.003171
   267      3     92  0.039290  0.040691  -0.001401
   268      3     93  0.039040  0.040104  -0.001064
   269      3     94  0.038800  0.040945  -0.002145
   270      3     95  0.040510  0.042685  -0.002175
   271      3     96  0.040020  0.042140  -0.002120
   272      3     97  0.039530  0.041643  -0.002113
   273      3     98  0.039530  0.041683  -0.002153
   274      3     99  0.039780  0.042114  -0.002334
   275      3    100  0.039780  0.042917  -0.003137
   276      3    101  0.039530  0.045144  -0.005614
   277      3    102  0.040020  0.043098  -0.003078
   278      3    103  0.040020  0.042662  -0.002642
   279      3    104  0.041250  0.042846  -0.001596
   280      4      1  0.028120  0.028285  -0.000165
   281      4      2  0.028000  0.028585  -0.000585
   282      4      3  0.027250  0.027519  -0.000269
   283      4      4  0.027120  0.026858  0.000262
   284      4      5  0.026230  0.026321  -0.000091
   285      4      6  0.025460  0.026377  -0.000917
   286      4      7  0.026100  0.026230  -0.000130
   287      4      8  0.025340  0.025570  -0.000230
   288      4      9  0.026100  0.025291  0.000809
   289      4     10  0.025590  0.025792  -0.000202
   290      4     11  0.025720  0.027031  -0.001311
   291      4     12  0.023820  0.025233  -0.001413
   292      4     13  0.022310  0.024536  -0.002226
   293      4     14  0.022050  0.023785  -0.001735
   294      4     15  0.022190  0.023478  -0.001288
   295      4     16  0.022190  0.022484  -0.000294
   296      4     17  0.022310  0.021878  0.000432
   297      4     18  0.021300  0.021662  -0.000362
   298      4     19  0.020410  0.020970  -0.000560
   299      4     20  0.019780  0.020424  -0.000644
   300      4     21  0.020280  0.019520  0.000760
   301      4     22  0.019650  0.019813  -0.000163
   302      4     23  0.019650  0.019654  -0.000004
   303      4     24  0.018010  0.019238  -0.001228
