# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
62.605829  -0.718068  355.224325
66.995853  -0.235257  305.321100
50.929061  -0.246755  234.057240
69.516983  -0.821927  325.747683
51.412921  -0.367542  277.029296
48.988619  -0.395800  239.523371
66.264548  -0.217110  314.028183
48.226459  -0.143517  248.102556
63.030878  -0.368362  356.826526
46.736444  -0.154733  279.245496
62.968278  -0.703821  354.303813
43.484294  -0.350489  268.933586
57.763702  -0.199559  300.442193
39.383490  -0.553683  231.260898
44.998702  -0.200788  283.816013
50.734913  -0.097393  223.779680
22.807741  -0.946651  261.287238
69.409048  -0.570889  263.284914
51.961899  -0.383406  288.131080
52.243125  -0.165227  295.719906
70.964910  -0.395680  266.783580
69.255627  -0.118230  228.946870
53.508422  -0.274463  325.208688
53.738217  -0.136200  327.216877
73.483866  -0.247920  396.016087
53.980564  -0.343397  330.369420
68.910469  -1.034694  380.800631
77.495309  -1.442294  541.327332
54.495660  -0.352155  342.230805
54.753313  -0.144958  343.464926
77.744655  -0.278437  293.087253
76.263110  -0.195249  318.926917
56.235820  -0.132166  339.235500
75.756523  -0.123369  336.948608
57.251370  -0.142514  338.511655
56.990898  -0.345424  344.449617
75.415297  -1.102350  477.955881
55.768240  -0.132077  341.333808
75.914255  -0.597486  386.168199
56.475347  -0.335077  341.286237
72.748438  -0.224459  350.152373
84.256506  -0.257043  274.808961
58.495425  -0.262268  261.191778
58.730995  -0.131780  253.759375
82.444377  -0.577837  316.198301
81.986737  -1.075185  457.229881
59.481981  -0.365918  237.750670
59.752194  -0.158861  230.944048
82.262479  -0.119929  279.939391
61.299184  -0.518063  263.582410
82.771474  -0.187070  278.395672
79.258242  -0.233312  222.497147
61.234653  -0.106612  244.484675
61.701261  -0.163836  283.565988
88.409829  -0.737466  237.281005
85.374658  -0.585781  284.357941
62.757214  -0.155530  355.687579
88.030918  -0.749004  238.024557
64.008546  -0.272362  398.575505
64.507757  -0.388350  390.622840
88.764142  -0.209402  207.089618
62.244548  -0.227080  341.258543
90.225554  -0.207928  210.070857
61.945809  -0.390916  327.715573
79.996671  -0.255076  214.324708
58.960783  -0.338836  252.146711
84.065944  -1.326396  399.971962
86.487668  -0.207533  219.492636
64.767920  -0.249089  388.545791
65.043229  -0.382197  393.414923
85.763755  -0.201078  239.524340
96.246186  -0.194078  271.998030
65.522355  -0.260727  360.352971
68.007364  -0.471600  277.284883
90.937867  -0.760323  329.494852
65.275309  -0.133108  375.124685
94.395175  -0.552299  257.820367
67.703950  -0.187919  284.535548
67.228994  -0.115304  296.815708
68.303415  -0.283682  260.354057
93.844800  -0.955829  361.618099
92.030951  -0.241434  240.860466
68.790562  -0.134397  238.652534
7.972344  -0.675554  206.582330
69.760682  -0.188188  228.852666
69.046189  -0.252627  236.577188
91.289717  -0.251220  224.569043
70.485572  -0.244133  242.426691
94.252604  -0.111474  240.317443
64.239836  -0.139261  393.227793
94.762561  -0.191217  241.257078
8.277609  -0.194464  200.265703
70.727040  -0.128721  246.271714
71.237869  -0.266959  273.589531
5.750251  -0.596203  208.145400
5.193986  -0.977362  255.372699
71.764450  -0.136304  294.495676
15.606222  -0.947850  287.087647
74.499551  -0.505719  383.096266
72.002736  -0.265393  299.387743
5.724783  -0.120950  204.144472
71.502320  -0.403263  282.530627
6.195222  -0.209860  202.107267
15.274223  -0.105634  229.177385
74.197958  -0.201219  400.451723
74.801593  -0.304501  371.889984
14.262489  -0.152086  210.671133
19.229122  -0.209016  203.677957
75.547287  -0.265022  343.942662
17.768173  -0.218589  222.106804
76.989895  -0.252351  314.517582
77.474190  -0.411555  300.131458
17.411702  -0.783263  261.047519
75.290764  -0.141653  345.883092
22.374094  -1.164555  258.461673
73.723902  -0.122060  409.392615
4.485479  -1.297091  302.961058
77.229535  -0.133117  303.561770
2.234412  -0.120355  200.778821
87.234994  -0.758591  243.390297
88.508071  -0.369367  208.485763
17.510760  -0.388557  226.318455
80.282743  -0.621594  227.269384
78.012798  -0.419642  286.946444
10.477748  -0.215871  200.139325
12.661704  -1.094285  232.373969
78.510718  -0.274923  258.345055
81.033502  -0.508814  284.161772
15.910009  -0.247497  240.197795
78.268144  -0.141205  259.834743
9.754926  -0.209148  200.153762
12.762442  -0.214542  200.944486
81.322864  -0.303545  281.416577
81.621595  -0.443006  282.905045
12.044753  -0.788683  212.026001
49.810971  -0.230300  258.258682
82.061210  -0.259390  276.578331
55.112490  -1.016241  391.995174
83.499419  -0.238238  288.819034
83.991033  -0.382086  277.454998
50.549777  -0.431414  306.613382
81.798731  -0.139461  270.573232
12.508310  -0.382296  200.891812
80.230488  -0.125192  216.519154
12.424363  -0.764477  212.420995
54.586325  -0.666809  387.136070
86.742017  -0.490291  226.668983
84.529898  -0.386205  274.371587
55.020579  -0.347473  344.670396
53.520594  -0.608721  346.077210
85.020248  -0.248806  265.751283
87.403403  -0.377670  213.492123
51.259851  -0.718674  329.438808
84.773391  -0.129161  268.458060
53.270205  -0.138263  321.801806
20.288730  -0.250477  202.685995
87.718564  -0.220940  212.151071
87.962494  -0.380905  211.415886
21.075833  -0.509476  206.944811
27.931403  -0.318138  214.772999
89.955666  -0.340228  208.737156
26.239576  -0.128898  235.729716
89.730112  -0.132300  205.764367
89.494353  -0.264836  205.917694
25.689803  -1.036547  298.811048
88.243930  -0.159964  208.545931
24.755341  -0.651490  233.717814
3.250836  -0.119958  203.516304
56.508943  -1.037089  397.359539
83.734527  -0.125043  287.129133
56.004060  -0.264244  342.696133
24.439573  -0.496832  234.415883
90.475058  -0.369105  214.635315
90.749504  -0.161176  214.131352
21.966870  -0.852688  241.793204
23.067691  -0.467579  219.186944
92.246714  -0.114538  245.797586
93.309618  -0.214388  257.266103
23.495933  -0.290671  217.372555
93.041233  -0.391572  250.317465
29.219917  -1.554988  514.951618
33.986684  -0.318396  274.674647
93.788157  -0.115406  255.918510
94.040761  -0.226880  245.424508
31.987080  -0.670263  266.655064
30.761657  -0.118544  205.552421
95.509659  -0.242539  305.102375
28.366675  -0.982246  300.896357
94.489377  -0.812639  367.921834
95.739559  -0.121565  323.638063
30.973273  -0.517815  223.167430
95.985745  -0.315643  284.141350
32.470767  -0.370587  255.122490
93.597775  -0.329794  259.255437
31.257813  -0.594833  225.478747
29.615720  -0.524418  219.922778
96.754859  -0.131246  255.957379
97.262429  -0.173881  229.312768
30.020435  -0.311088  205.104562
27.490132  -0.524479  243.104409
103.833333  -0.166667  234.036030
39.485557  -0.288768  209.351443
99.229408  -0.118572  207.009944
98.990856  -0.228353  208.391869
38.215504  -1.252061  377.000263
97.522642  -0.296591  224.386993
27.262920  -0.124864  229.567037
38.075146  -0.432626  236.273181
100.009195  -0.350996  209.917271
100.266235  -0.126386  216.334325
36.264127  -0.134100  281.313978
34.359348  -0.729993  293.578427
101.238690  -0.193291  225.154776
33.253863  -0.149245  271.950333
101.751991  -0.140198  222.907394
101.490681  -0.333489  225.327077
40.397953  -1.164398  373.807695
100.504007  -0.247481  220.171403
36.483410  -0.600103  302.924232
99.742959  -0.224610  207.695174
37.574674  -0.816082  304.416476
96.501045  -0.325323  266.167355
31.757035  -1.011804  277.718323
92.363988  -0.561227  290.634743
24.253795  -0.113410  223.651048
34.574588  -1.157221  332.943723
17.018547  -0.797401  260.146157
42.795373  -0.620583  273.147496
73.746963  -0.604395  392.068288
45.411662  -0.242982  285.133026
43.562070  -0.671957  297.734394
44.038340  -0.361719  272.828821
42.264175  -0.122865  239.381289
42.494565  -0.541074  271.274532
39.990508  -0.845432  374.562803
43.366315  -1.043338  318.451522
41.077358  -0.480454  221.504210
41.506492  -0.306465  217.392548
38.792896  -0.126689  213.154380
39.108958  -0.505172  229.799610
44.771633  -0.105786  281.951531
45.009601  -0.418550  294.283085
49.732816  -1.160137  504.410539
50.517124  -0.208114  230.818625
49.084957  -0.791536  330.649323
49.571231  -0.400995  242.724313
47.757417  -0.142834  257.758346
47.963924  -0.634527  295.255216
45.718169  -0.717376  327.717030
51.418578  -1.035631  376.406597
55.535507  -0.334592  341.054468
55.526837  -1.026826  395.011265
56.924230  -1.021337  400.338392
61.435914  -0.270449  271.629611
59.557039  -0.709093  340.478024
60.042235  -0.401490  237.059062
58.264430  -0.130489  265.351743
58.489543  -0.582503  325.507700
56.313694  -0.660317  357.749361
59.950626  -0.744666  338.497775
60.777315  -0.119668  226.414967
61.041905  -0.473895  256.113160
63.768710  -0.133100  392.631540
64.007651  -0.583420  420.511598
64.340195  -0.699408  411.391009
67.273731  -0.566582  320.438251
65.252520  -1.062154  470.337325
65.747046  -0.127619  337.775692
61.814806  -0.788707  358.819084
65.874701  -0.629254  376.426953
66.766859  -0.119954  307.493807
67.003307  -0.498617  322.569148
70.258532  -0.115412  235.257634
70.455801  -0.500918  270.878109
70.768472  -0.652465  279.492388
73.921860  -0.323279  407.809041
71.683886  -1.029768  409.671774
72.238286  -0.129089  313.076013
67.857540  -0.926126  358.222817
70.636062  -1.852855  528.468360
69.105595  -0.517097  263.832575
69.516309  -0.306418  230.840951
73.259964  -0.125860  370.142216
73.475635  -0.529037  384.505748
77.282740  -0.678872  329.069436
80.441126  -0.330461  230.824293
78.216429  -1.078279  445.875662
78.742574  -0.133718  251.639538
76.760359  -0.119233  315.392796
76.965112  -0.519668  335.303829
74.331188  -1.001139  449.842980
81.786784  -1.597297  558.181251
75.608576  -0.543891  376.961735
76.019633  -0.318618  330.832515
83.811061  -0.633060  299.539833
86.908223  -0.256872  214.943624
84.764968  -0.980084  368.622822
85.246857  -0.119644  257.054669
83.264892  -0.113195  284.637623
83.486113  -0.489212  303.949831
80.901329  -1.020087  332.766666
86.717682  -1.573903  372.301459
82.138301  -0.530228  315.515108
82.533953  -0.306999  281.681735
79.766183  -0.129884  213.289938
80.004955  -0.546209  224.921986
91.044166  -1.226750  388.050638
92.478329  -0.291721  249.572390
90.540371  -0.717031  325.187957
91.039221  -0.412396  220.890413
89.264241  -0.132537  205.584505
89.486596  -0.585826  217.882129
85.460511  -0.887420  299.873257
93.415120  -1.172649  359.221531
86.264284  -0.107390  222.295111
86.488128  -0.440952  228.233753
95.834839  -0.606109  320.172859
96.950159  -0.591422  281.811486
96.600583  -0.611619  286.891419
97.017288  -0.305127  244.274521
95.270100  -0.120974  272.616594
95.525420  -0.533006  345.887678
92.991563  -0.858000  414.429019
96.799856  -2.276663  550.868216
94.087437  -0.476488  256.506265
94.515165  -0.302691  240.700979
91.784237  -0.126897  232.621926
92.083277  -0.510939  286.749225
2.730201  -0.216078  201.599553
102.269436  -0.202359  226.428810
3.441729  -0.502635  209.931095
7.637279  -0.667053  206.710413
10.896127  -0.269740  200.213116
8.588874  -0.943032  217.243391
9.239184  -0.126281  200.151030
6.746875  -0.211389  201.238933
7.420388  -0.943580  214.590102
7.069474  -0.817865  215.293798
7.539491  -0.329949  200.637920
4.266436  -0.876459  235.966867
6.790878  -1.583565  353.852587
5.485640  -0.515453  208.451112
5.920006  -0.330810  202.783193
18.844600  -1.940104  602.668184
15.250825  -0.536740  238.263127
2.010857  -0.503968  203.046145
3.466254  -0.233993  204.733931
1.257023  -0.147056  200.366675
2.464613  -0.336433  201.423865
14.796757  -0.212681  220.938531
15.514869  -0.419763  241.069429
19.940132  -0.758755  257.454933
21.028146  -0.241055  202.002127
19.547191  -0.717294  253.280841
20.039326  -0.411858  204.001409
18.267387  -0.135908  209.113666
18.501415  -0.595234  226.413122
