# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
70.416667  -0.271609  204.932886
69.291667  -0.180461  206.194229
75.000000  -0.203097  261.010833
74.694101  -1.569535  1968.886836
71.287740  -0.427706  228.501998
70.625000  -0.135804  242.667854
70.891098  -1.291220  201.635394
71.500000  -0.093383  259.397468
76.291667  -0.229187  252.076145
73.118296  -0.498855  240.335047
71.637535  -1.696101  2423.615733
73.500000  -0.093383  271.289561
69.079407  -0.470128  204.653758
74.875000  -0.121057  261.966402
76.500000  -0.093383  249.798418
77.442810  -0.559129  254.840127
88.903020  -1.173565  276.734296
84.125000  -0.073445  263.621771
85.210555  -1.618276  281.578955
82.625000  -0.135804  271.432903
82.032090  -0.670941  244.266028
83.291667  -0.180461  270.511089
83.500000  -0.093383  270.425415
83.079407  -0.470128  245.609377
97.049520  -0.689878  251.749454
85.936417  -0.440450  223.107002
84.500000  -0.095818  258.290089
88.125000  -0.771882  234.165295
86.500000  -0.093383  207.375731
86.712260  -0.427706  210.807385
87.500000  -0.093383  199.981567
87.712260  -0.427706  223.974373
90.291667  -0.177858  150.110100
88.875000  -0.135804  183.402454
89.476182  -0.900532  276.480511
91.920593  -0.470128  268.275498
90.063583  -0.440450  229.351066
89.875000  -0.121057  141.443424
92.500000  -0.093383  266.963135
92.712260  -0.427706  257.575566
94.708333  -0.177858  249.284364
94.125000  -0.073445  257.522010
97.500000  -0.093383  235.939719
97.712260  -0.427706  242.378444
99.049520  -0.689878  186.741109
100.920593  -0.470128  194.821198
101.125000  -0.135804  214.919005
100.875000  -0.087078  216.203105
102.500000  -1.026143  261.858690
104.555371  -0.640404  251.884527
102.500000  -0.093383  218.204808
102.000000  -0.222882  218.502588
96.500000  -0.093383  257.292534
96.712260  -0.427706  263.332786
69.712260  -0.427706  200.944210
72.500000  -0.095818  269.957593
68.319051  -1.049786  196.529968
0.083333  -0.083333  107.460801
95.549009  -0.557379  244.544998
95.125000  -0.121057  248.943338
12.769450  -0.385329  175.159552
17.523818  -0.900532  241.897000
61.079407  -0.470128  205.053481
29.437356  -0.973391  242.809088
42.287740  -0.427706  216.299655
42.291667  -0.180461  254.539703
4.291667  -0.229187  193.026549
4.049520  -0.689878  217.064508
6.079407  -0.470128  200.254997
6.500000  -0.093383  178.017052
8.079407  -0.470128  185.247802
8.500000  -0.093383  137.506702
7.079407  -0.470128  203.978495
7.500000  -0.093383  160.567755
91.125000  -0.087078  183.390297
91.118296  -0.498855  259.308848
2.969094  -3.088445  2057.230203
9.950480  -0.689878  159.542900
9.287740  -0.427706  139.862730
9.708333  -0.229187  103.185949
13.948158  -1.009075  266.643734
11.000000  -0.203097  121.993526
9.704407  -0.536015  155.416307
11.484176  -0.577981  175.201559
10.287740  -0.427706  124.162842
12.095262  -0.952603  286.733204
23.079407  -0.470128  203.530265
23.476182  -0.900532  216.725389
56.875000  -0.121057  262.225411
57.712260  -0.427706  243.394715
12.113100  -0.644765  190.243921
13.148046  -0.814539  276.871528
11.708333  -0.180461  126.229838
13.307180  -0.376172  203.884535
39.125000  -0.121057  194.257264
40.049520  -0.689878  225.339564
62.500000  -0.093383  250.913333
14.049520  -0.689878  214.444241
27.950480  -0.689878  206.224892
28.708333  -0.229187  162.628168
32.079407  -0.470128  199.536535
32.708333  -0.229187  243.002941
11.500000  -0.093383  122.627755
13.920593  -0.470128  213.858898
13.000000  -0.160523  153.815042
13.118296  -0.498855  196.598501
14.291667  -0.229187  201.275508
14.363413  -0.638343  216.536269
15.125000  -0.073445  219.098646
15.678284  -2.429820  2116.340125
43.291667  -0.229187  242.508774
42.120363  -0.995546  203.669582
14.222977  -1.560026  286.867628
16.291667  -0.229729  226.745331
17.125000  -0.121057  204.744817
15.022217  -0.376589  234.322644
18.291667  -0.229187  170.178424
17.920593  -0.470128  227.268856
26.152879  -0.750125  206.528074
26.895026  -0.750125  205.804836
27.708333  -0.229187  203.080196
27.287740  -0.427706  207.971103
29.079407  -0.470128  236.278851
29.500000  -0.093383  143.609146
29.950480  -0.689878  253.790836
30.500000  -0.093383  161.334097
30.287740  -0.427706  235.194324
31.950480  -0.689878  192.846535
31.079407  -0.470128  198.669095
31.708333  -0.229187  230.573782
32.950480  -0.689878  200.336309
33.291667  -0.180461  236.919831
34.500000  -0.093383  224.747041
34.507853  -0.647456  210.719729
33.500000  -0.093383  232.495047
33.708333  -0.180461  228.024887
35.291667  -0.229187  225.807027
36.507853  -0.647456  214.471337
36.291667  -0.229187  236.523399
35.920593  -0.470128  214.743142
38.125000  -0.135804  245.357059
37.875000  -0.087078  250.846201
40.291667  -0.229187  190.392155
39.920593  -0.470128  211.344323
42.079407  -0.470128  215.877958
42.500000  -0.587873  216.234906
44.291667  -0.229187  235.542384
44.565236  -2.076616  1842.432495
46.875000  -0.087078  240.335747
47.895839  -0.749242  248.403517
45.017563  -0.348142  244.719208
